1	4
2	4
3	3
4	4
5	4
6	4
7	4
8	2
9	3
10	4
11	1
12	1
13	1
14	4
15	3
16	3
17	2
18	4
19	2
20	2
21	3
22	3
23	2
24	3
25	4
26	2
27	3
28	3
29	3
30	4
31	4
32	3
33	4
34	3
35	3
36	4
37	4
38	4
39	3
40	4
41	3
42	4
43	3
44	4
45	4
46	3
47	3
48	4
49	2
50	0
51	4
52	4
53	4
54	3
55	4
56	4
57	4
58	3
59	4
60	3
61	4
62	3
63	4
64	3
65	4
66	3
67	4
68	4
69	2
70	3
71	3
72	2
73	4
74	4
75	3
76	3
77	3
78	0
79	2
80	2
81	2
82	2
83	2
84	0
85	2
86	2
87	0
88	2
89	0
90	2
91	2
92	2
93	2
94	2
95	3
96	3
97	2
98	2
99	3
100	3
101	2
102	2
103	2
104	3
105	3
106	2
107	2
108	4
109	2
110	2
111	3
112	4
113	4
114	2
115	4
116	2
117	3
118	2
119	0
120	0
121	3
122	3
123	0
124	0
125	3
126	0
127	3
128	0
129	0
130	3
131	4
132	3
133	3
134	2
135	4
136	3
137	3
138	3
139	3
140	4
141	3
142	3
143	0
144	3
145	0
146	2
147	2
148	1
149	1
150	3
151	4
152	0
153	2
154	3
155	2
156	3
157	0
158	0
159	3
160	2
161	2
162	3
163	2
164	2
165	2
166	2
167	2
168	2
169	2
170	2
171	2
172	3
173	0
174	0
175	2
176	2
177	0
178	2
179	2
180	3
181	2
182	2
183	0
184	0
185	2
186	2
187	2
188	0
189	0
190	0
191	3
192	2
193	2
194	3
195	2
196	0
197	0
198	3
199	2
200	3
201	2
202	2
203	2
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	3
215	0
216	3
217	3
218	3
219	2
220	2
221	3
222	3
223	3
224	3
225	3
226	4
227	4
228	4
229	4
230	4
231	4
232	4
233	4
234	4
235	4
236	4
237	4
238	4
239	4
240	4
241	4
242	4
243	4
244	4
245	3
246	4
247	4
248	3
249	4
250	0
251	0
252	3
253	4
254	4
255	4
256	4
257	0
258	3
259	4
260	4
261	4
262	4
263	4
264	3
265	3
266	4
267	4
268	4
269	4
270	4
271	4
272	4
273	4
274	4
275	4
276	0
277	0
278	2
279	2
280	2
281	0
282	0
283	3
284	4
285	0
286	0
287	0
288	4
289	0
290	4
291	4
292	3
293	0
294	0
295	0
296	2
297	4
298	3
299	4
300	2
301	2
302	4
303	4
304	4
305	4
306	3
307	0
308	3
309	4
310	4
311	4
312	4
313	4
314	2
315	4
316	4
317	4
318	4
319	4
320	0
321	0
322	3
323	3
324	3
325	2
326	4
327	3
328	4
329	4
330	4
331	4
332	4
333	4
334	4
335	4
336	4
337	4
338	4
339	3
340	4
341	4
342	4
343	3
344	2
345	4
346	4
347	4
348	4
349	4
350	4
351	4
352	4
353	4
354	4
355	4
356	4
357	4
358	2
359	3
360	4
361	4
362	4
363	4
364	4
365	3
366	4
367	4
368	4
369	4
370	4
371	4
372	4
373	4
374	4
375	4
376	3
377	3
378	3
379	3
380	4
381	4
382	0
383	0
384	0
385	0
386	0
387	2
388	4
389	2
390	2
391	3
392	0
393	2
394	2
395	2
396	2
397	3
398	3
399	2
400	2
401	2
402	2
403	3
404	4
405	2
406	4
407	2
408	3
409	2
410	4
411	3
412	4
413	3
414	3
415	4
416	4
417	2
418	4
419	4
420	3
421	0
422	3
423	2
424	2
425	3
426	0
427	3
428	2
429	0
430	3
431	3
432	3
433	3
434	3
435	2
436	3
437	3
438	2
439	3
440	3
441	3
442	1
443	1
444	1
445	2
446	3
447	2
448	3
449	3
450	3
451	3
452	3
453	3
454	3
455	3
456	2
457	2
458	2
459	2
460	3
461	3
462	2
463	2
464	2
465	2
466	3
467	2
468	2
469	3
470	2
471	2
472	3
473	3
474	3
475	3
476	3
477	3
478	3
479	3
480	3
481	3
482	3
483	3
484	0
485	0
486	2
487	3
488	3
489	0
490	2
491	2
492	2
493	3
494	2
495	3
496	3
497	3
498	2
499	3
500	3
501	3
502	4
503	3
504	3
505	3
506	3
507	3
508	3
509	0
510	3
511	0
512	0
513	3
514	3
515	0
516	3
517	3
518	3
519	3
520	3
521	3
522	3
523	3
524	3
525	3
526	3
527	3
